title;start;CES_parameters;cm_calibration_string;c_CES_calibration_new_structure;cm_CES_calibration_default_prices;c_CES_calibration_write_prices;cm_iteration_max;regionmapping;cm_techcosts;cm_rcp_scen;cm_iterative_target_adj;c_budgetCO2;carbonprice;regipol;cm_regiCO2target;cm_emiMktETS;cm_emiMktETS_type;cm_emiMktES;cm_emiMktES_type;cm_emiMktEScoop;cm_emiMktES2050;cm_NucRegiPol;cm_CCSRegiPol;cm_altFeEmiFac;cm_co2_tax_2020;climate;optimization;c_testOneRegi_region;cm_nash_mode;capitalMarket;buildings;transport;cm_EDGEtr_scen;cm_co2_tax_growth;cm_emiscen;techpol;cm_multigasscen;cm_INCONV_PENALTY_bioSwitch;cm_startyear;path_gdx;path_gdx_ref;path_gdx_bau
_____Calibration_____;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EU11_Calibrate;0;calibrate;off;0;0;0;0;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;none;0;0;none;regiCarbonPrice;off;off;off;off;off;off;off;on;2020;EUR_regi, NEU_regi;-1;off;nash;DEU;parallel;debt_limit;simple;complex;ConvCase;1.05;1;none;2;on;2005;./config/21_regions_EU11/input_EU11.gdx;;
EU11_Calib_trnsp_cons;0;calibrate;off;0;0;0;0;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;none;0;0;none;regiCarbonPrice;off;off;off;off;off;off;off;on;2020;EUR_regi, NEU_regi;-1;off;nash;DEU;parallel;debt_limit;simple;edge_esm;ConvCase;1.05;1;none;2;on;2005;./config/21_regions_EU11/input_EU11_edge_esm.gdx;;
EU11_Calib_trnsp_eff;0;calibrate;trnsp_eff;0;0;0;0;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;none;0;0;none;regiCarbonPrice;off;off;off;off;off;off;off;on;2020;EUR_regi, NEU_regi;-1;off;nash;DEU;parallel;debt_limit;simple;edge_esm;ConvCase;1.05;1;none;2;on;2005;./config/21_regions_EU11/input_EU11_edge_esm-trnsp_eff.gdx;;
_____Budget_Scenarios_____;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
________default;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EU11_Base;1;load;off;0;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;none;0;0;none;regiCarbonPrice;off;off;off;off;off;off;off;on;off;EUR_regi, NEU_regi;-1;off;nash;DEU;parallel;debt_limit;simple;complex;ConvCase;1.05;1;none;2;on;2005;./config/21_regions_EU11/input_EU11.gdx;;
EU11_NDC;1;load;off;0;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;rcp45;3;0;NDC2018;regiCarbonPrice;off;off;off;off;off;off;off;on;2020;EUR_regi, NEU_regi;1;off;nash;DEU;parallel;debt_limit;simple;complex;ConvCase;1.05;9;NDC2018;3;on;2015;./config/21_regions_EU11/input_EU11.gdx;EU11_Base;EU11_Base
EU11_NPi;1;load;off;0;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;rcp45;3;0;NPi2018;regiCarbonPrice;off;off;off;off;off;off;off;on;2020;EUR_regi, NEU_regi;1;off;nash;DEU;parallel;debt_limit;simple;complex;ConvCase;1.05;9;NPi2018;3;on;2025;./config/21_regions_EU11/input_EU11.gdx;EU11_NDC;EU11_Base
EU11_Budg600;1;load;off;0;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;rcp20;5;600;expoLinear;regiCarbonPrice;off;off;off;off;off;off;off;on;2020;EUR_regi, NEU_regi;30;off;nash;DEU;parallel;debt_limit;simple;complex;ConvCase;1.05;9;NDC2018;2;on;2025;./config/21_regions_EU11/input_EU11.gdx;EU11_NDC;EU11_Base
EU11_Budg950;1;load;off;0;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;rcp26;5;950;expoLinear;regiCarbonPrice;off;off;off;off;off;off;off;on;2020;EUR_regi, NEU_regi;30;off;nash;DEU;parallel;debt_limit;simple;complex;ConvCase;1.05;9;NDC2018;2;on;2025;./config/21_regions_EU11/input_EU11.gdx;EU11_NDC;EU11_Base
EU11_Budg1300;1;load;off;0;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;rcp26;5;1300;expoLinear;regiCarbonPrice;off;off;off;off;off;off;off;on;2020;EUR_regi, NEU_regi;30;off;nash;DEU;parallel;debt_limit;simple;complex;ConvCase;1.05;9;NDC2018;2;on;2025;./config/21_regions_EU11/input_EU11.gdx;EU11_NDC;EU11_Base
________EDGE Transport conservative;0;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EU11_Base_trnsp_cons;0;load;off;0;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;none;0;0;none;regiCarbonPrice;off;off;off;off;off;off;off;on;2020;EUR_regi, NEU_regi;-1;off;nash;DEU;parallel;debt_limit;simple;edge_esm;ConvCase;1.05;1;none;2;on;2005;./config/21_regions_EU11/input_EU11_edge_esm.gdx;;
EU11_NDC_trnsp_cons;0;load;off;0;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;rcp45;3;0;NDC2018;regiCarbonPrice;off;off;off;off;off;off;off;on;2020;EUR_regi, NEU_regi;1;off;nash;DEU;parallel;debt_limit;simple;edge_esm;ConvCase;1.05;9;NDC2018;3;on;2015;./config/21_regions_EU11/input_EU11_edge_esm.gdx;EU11_Base_trnsp_cons;EU11_Base_trnsp_cons
EU11_NPi_trnsp_cons;0;load;off;0;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;rcp45;3;0;NPi2018;regiCarbonPrice;off;off;off;off;off;off;off;on;2020;EUR_regi, NEU_regi;1;off;nash;DEU;parallel;debt_limit;simple;edge_esm;ConvCase;1.05;9;NPi2018;3;on;2025;./config/21_regions_EU11/input_EU11_edge_esm.gdx;./output/EU11_NDC_trnsp_cons_2020-02-17_14.15.02/fulldata.gdx;./output/EU11_Base_trnsp_cons_2020-02-17_12.11.03/fulldata.gdx
EU11_Budg600_trnsp_cons;0;load;off;0;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;rcp20;5;600;expoLinear;regiCarbonPrice;off;off;off;off;off;off;off;on;2020;EUR_regi, NEU_regi;30;off;nash;DEU;parallel;debt_limit;simple;edge_esm;ConvCase;1.05;9;NDC2018;2;on;2025;./config/21_regions_EU11/input_EU11_edge_esm.gdx;./output/EU11_NDC_trnsp_cons_2020-02-17_14.15.02/fulldata.gdx;./output/EU11_Base_trnsp_cons_2020-02-17_12.11.03/fulldata.gdx
EU11_Budg950_trnsp_cons;0;load;off;0;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;rcp26;5;950;expoLinear;regiCarbonPrice;off;off;off;off;off;off;off;on;2020;EUR_regi, NEU_regi;30;off;nash;DEU;parallel;debt_limit;simple;edge_esm;ConvCase;1.05;9;NDC2018;2;on;2025;./config/21_regions_EU11/input_EU11_edge_esm.gdx;./output/EU11_NDC_trnsp_cons_2020-02-17_14.15.02/fulldata.gdx;./output/EU11_Base_trnsp_cons_2020-02-17_12.11.03/fulldata.gdx
EU11_Budg1300_trnsp_cons;0;load;off;0;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;rcp26;5;1300;expoLinear;regiCarbonPrice;off;off;off;off;off;off;off;on;2020;EUR_regi, NEU_regi;30;off;nash;DEU;parallel;debt_limit;simple;edge_esm;ConvCase;1.05;9;NDC2018;2;on;2025;./config/21_regions_EU11/input_EU11_edge_esm.gdx;./output/EU11_NDC_trnsp_cons_2020-02-17_14.15.02/fulldata.gdx;./output/EU11_Base_trnsp_cons_2020-02-17_12.11.03/fulldata.gdx
________EDGE Transport Efficiency;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EU11_Base_trnsp_eff;0;load;trnsp_eff;0;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;none;0;0;none;regiCarbonPrice;off;off;off;off;off;off;off;on;2020;EUR_regi, NEU_regi;-1;off;nash;DEU;parallel;debt_limit;simple;edge_esm;Smart_lifestyles_Electricity_push;1.05;1;none;2;on;2005;./config/21_regions_EU11/input_EU11_edge_esm-trnsp_eff.gdx;;
EU11_NDC_trnsp_eff;0;load;trnsp_eff;0;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;rcp45;3;0;NDC2018;regiCarbonPrice;off;off;off;off;off;off;off;on;2020;EUR_regi, NEU_regi;1;off;nash;DEU;parallel;debt_limit;simple;edge_esm;Smart_lifestyles_Electricity_push;1.05;9;NDC2018;3;on;2015;./config/21_regions_EU11/input_EU11_edge_esm-trnsp_eff.gdx;EU11_Base_trnsp_eff;EU11_Base_trnsp_eff
EU11_NPi_trnsp_eff;0;load;trnsp_eff;0;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;rcp45;3;0;NPi2018;regiCarbonPrice;off;off;off;off;off;off;off;on;2020;EUR_regi, NEU_regi;1;off;nash;DEU;parallel;debt_limit;simple;edge_esm;Smart_lifestyles_Electricity_push;1.05;9;NPi2018;3;on;2025;./config/21_regions_EU11/input_EU11_edge_esm-trnsp_eff.gdx;EU11_NDC_trnsp_eff;EU11_Base_trnsp_eff
EU11_Budg600_trnsp_eff;0;load;trnsp_eff;0;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;rcp20;5;600;expoLinear;regiCarbonPrice;off;off;off;off;off;off;off;on;2020;EUR_regi, NEU_regi;30;off;nash;DEU;parallel;debt_limit;simple;edge_esm;Smart_lifestyles_Electricity_push;1.05;9;NDC2018;2;on;2025;./config/21_regions_EU11/input_EU11_edge_esm-trnsp_eff.gdx;EU11_NDC_trnsp_eff;EU11_Base_trnsp_eff
EU11_Budg950_trnsp_eff;0;load;trnsp_eff;0;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;rcp26;5;950;expoLinear;regiCarbonPrice;off;off;off;off;off;off;off;on;2020;EUR_regi, NEU_regi;30;off;nash;DEU;parallel;debt_limit;simple;edge_esm;Smart_lifestyles_Electricity_push;1.05;9;NDC2018;2;on;2025;./config/21_regions_EU11/input_EU11_edge_esm-trnsp_eff.gdx;EU11_NDC_trnsp_eff;EU11_Base_trnsp_eff
EU11_Budg1300_trnsp_eff;0;load;trnsp_eff;0;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;rcp26;5;1300;expoLinear;regiCarbonPrice;off;off;off;off;off;off;off;on;2020;EUR_regi, NEU_regi;30;off;nash;DEU;parallel;debt_limit;simple;edge_esm;Smart_lifestyles_Electricity_push;1.05;9;NDC2018;2;on;2025;./config/21_regions_EU11/input_EU11_edge_esm-trnsp_eff.gdx;EU11_NDC_trnsp_eff;EU11_Base_trnsp_eff
_____ETS_and_ESD_Scenarios_____;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ETS_ESD_Ref;0;load;off;0;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;none;0;0;none;regiCarbonPrice;off;off;off;off;off;off;off;on;2020;EUR_regi, NEU_regi;-1;off;nash;DEU;parallel;debt_limit;1;complex;ConvCase;1.05;1;none;2;on;2005;config/input_EU11.gdx;;
coop_ETS_ESD;0;load;off;0;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;rcp26;5;950;expoLinear;regiCarbonPrice;off;0.1;budget;1;netGHG;on;linear;on;2020;EUR_regi, NEU_regi;30;off;nash;DEU;parallel;debt_limit;1;complex;ConvCase;1.05;9;NDC2018;2;on;2020;config/input_EU11.gdx;ETS_ESD_Ref;ETS_ESD_Ref
seg_ETS_ESD;0;load;off;0;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;rcp26;5;950;expoLinear;regiCarbonPrice;off;0.1;budget;1;netGHG;off;linear;on;2020;EUR_regi, NEU_regi;30;off;nash;DEU;parallel;debt_limit;1;complex;ConvCase;1.05;9;NDC2018;2;on;2020;config/input_EU11.gdx;ETS_ESD_Ref;ETS_ESD_Ref
EU_net_neutral_2050_coop_ETS_ESD;0;load;off;0;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;rcp26;5;950;expoLinear;regiCarbonPrice;2050.EUR_regi.year.netCO2 0.0001;off;off;off;off;off;off;on;2020;EUR_regi, NEU_regi;30;off;nash;DEU;parallel;debt_limit;1;complex;ConvCase;1.05;9;NDC2018;2;on;2035;config/input_EU11.gdx;coop_ETS_ESD;coop_ETS_ESD
EU_net_neutral_2050_seg_ETS_ESD;0;load;off;0;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;rcp26;5;950;expoLinear;regiCarbonPrice;2050.EUR_regi.year.netCO2 0.0001;off;off;off;off;off;off;on;2020;EUR_regi, NEU_regi;30;off;nash;DEU;parallel;debt_limit;1;complex;ConvCase;1.05;9;NDC2018;2;on;2035;config/input_EU11.gdx;seg_ETS_ESD;seg_ETS_ESD
EU_Bdg70_ETS_ESD;0;load;off;0;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;rcp26;5;950;expoLinear;regiCarbonPrice;2050.EUR_regi.budget.netCO2 70;off;off;off;off;off;off;on;2020;EUR_regi, NEU_regi;30;off;nash;DEU;parallel;debt_limit;1;complex;ConvCase;1.05;9;NDC2018;2;on;2020;config/input_EU11.gdx;ETS_ESD_Ref;ETS_ESD_Ref
_____ETS_and_ESD_EDGE_Scenarios_____;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ETS_ESD_Ref_trnsp_cons;0;load;off;0;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;none;0;0;none;regiCarbonPrice;off;off;off;off;off;off;off;on;2020;EUR_regi, NEU_regi;-1;off;nash;DEU;parallel;debt_limit;1;edge_esm;ConvCase;1.05;1;none;2;on;2005;./config/21_regions_EU11/input_EU11_edge_esm.gdx;;
coop_ETS_ESD_trnsp_cons;0;load;off;0;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;rcp26;5;950;expoLinear;regiCarbonPrice;off;0.1;budget;1;netGHG;on;linear;on;2020;EUR_regi, NEU_regi;30;off;nash;DEU;parallel;debt_limit;1;edge_esm;ConvCase;1.05;9;NDC2018;2;on;2020;./config/21_regions_EU11/input_EU11_edge_esm.gdx;ETS_ESD_Ref_trnsp_cons;ETS_ESD_Ref_trnsp_cons
seg_ETS_ESD_trnsp_cons;0;load;off;0;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;rcp26;5;950;expoLinear;regiCarbonPrice;off;0.1;budget;1;netGHG;off;linear;on;2020;EUR_regi, NEU_regi;30;off;nash;DEU;parallel;debt_limit;1;edge_esm;ConvCase;1.05;9;NDC2018;2;on;2020;./config/21_regions_EU11/input_EU11_edge_esm.gdx;ETS_ESD_Ref_trnsp_cons;ETS_ESD_Ref_trnsp_cons
EU_net_neutral_2050_coop_ETS_ESD_trnsp_cons;0;load;off;0;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;rcp26;5;950;expoLinear;regiCarbonPrice;2050.EUR_regi.year.netCO2 0.0001;off;off;off;off;off;off;on;2020;EUR_regi, NEU_regi;30;off;nash;DEU;parallel;debt_limit;1;edge_esm;ConvCase;1.05;9;NDC2018;2;on;2035;./config/21_regions_EU11/input_EU11_edge_esm.gdx;coop_ETS_ESD_trnsp_cons;coop_ETS_ESD_trnsp_cons
EU_net_neutral_2050_seg_ETS_ESD_trnsp_cons;0;load;off;0;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;rcp26;5;950;expoLinear;regiCarbonPrice;2050.EUR_regi.year.netCO2 0.0001;off;off;off;off;off;off;on;2020;EUR_regi, NEU_regi;30;off;nash;DEU;parallel;debt_limit;1;edge_esm;ConvCase;1.05;9;NDC2018;2;on;2035;./config/21_regions_EU11/input_EU11_edge_esm.gdx;seg_ETS_ESD_trnsp_cons;seg_ETS_ESD_trnsp_cons
EU_Bdg70_ETS_ESD_trnsp_cons;0;load;off;0;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;rcp26;5;950;expoLinear;regiCarbonPrice;2050.EUR_regi.budget.netCO2 70;off;off;off;off;off;off;on;2020;EUR_regi, NEU_regi;30;off;nash;DEU;parallel;debt_limit;1;edge_esm;ConvCase;1.05;9;NDC2018;2;on;2020;./config/21_regions_EU11/input_EU11_edge_esm.gdx;ETS_ESD_Ref_trnsp_cons;ETS_ESD_Ref_trnsp_cons
_____Test_Scenarios_____;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
________regiTest;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EU11_CAZ;0;calibrate;off;1;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;none;0;0;none;regiCarbonPrice;off;off;off;off;off;off;off;on;2020;EUR_regi, NEU_regi;-1;off;testOneRegi;CAZ;debug;debt_limit;simple;edge_esm;ConvCase;1.05;1;none;2;on;2005;./config/21_regions_EU11/input_EU11.gdx;;
EU11_CHA;0;calibrate;off;1;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;none;0;0;none;none;off;off;off;off;off;off;off;off;2020;EUR_regi, NEU_regi;-1;off;testOneRegi;CHA;debug;debt_limit;simple;edge_esm;ConvCase;1.05;1;none;2;on;2005;./config/21_regions_EU11/input_EU11.gdx;;
EU11_IND;0;calibrate;off;1;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;none;0;0;none;none;off;off;off;off;off;off;off;off;2020;EUR_regi, NEU_regi;-1;off;testOneRegi;IND;debug;debt_limit;simple;edge_esm;ConvCase;1.05;1;none;2;on;2005;./config/21_regions_EU11/input_EU11.gdx;;
EU11_JPN;0;calibrate;off;1;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;none;0;0;none;none;off;off;off;off;off;off;off;off;2020;EUR_regi, NEU_regi;-1;off;testOneRegi;JPN;debug;debt_limit;simple;edge_esm;ConvCase;1.05;1;none;2;on;2005;./config/21_regions_EU11/input_EU11.gdx;;
EU11_LAM;0;calibrate;off;1;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;none;0;0;none;none;off;off;off;off;off;off;off;off;2020;EUR_regi, NEU_regi;-1;off;testOneRegi;LAM;debug;debt_limit;simple;edge_esm;ConvCase;1.05;1;none;2;on;2005;./config/21_regions_EU11/input_EU11.gdx;;
EU11_MEA;0;calibrate;off;1;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;none;0;0;none;none;off;off;off;off;off;off;off;off;2020;EUR_regi, NEU_regi;-1;off;testOneRegi;MEA;debug;debt_limit;simple;edge_esm;ConvCase;1.05;1;none;2;on;2005;./config/21_regions_EU11/input_EU11.gdx;;
EU11_OAS;0;calibrate;off;1;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;none;0;0;none;none;off;off;off;off;off;off;off;off;2020;EUR_regi, NEU_regi;-1;off;testOneRegi;OAS;debug;debt_limit;simple;edge_esm;ConvCase;1.05;1;none;2;on;2005;./config/21_regions_EU11/input_EU11.gdx;;
EU11_REF;0;calibrate;off;1;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;none;0;0;none;none;off;off;off;off;off;off;off;off;2020;EUR_regi, NEU_regi;-1;off;testOneRegi;REF;debug;debt_limit;simple;edge_esm;ConvCase;1.05;1;none;2;on;2005;./config/21_regions_EU11/input_EU11.gdx;;
EU11_SSA;0;calibrate;off;1;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;none;0;0;none;none;off;off;off;off;off;off;off;off;2020;EUR_regi, NEU_regi;-1;off;testOneRegi;SSA;debug;debt_limit;simple;edge_esm;ConvCase;1.05;1;none;2;on;2005;./config/21_regions_EU11/input_EU11.gdx;;
EU11_USA;0;calibrate;off;1;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;none;0;0;none;none;off;off;off;off;off;off;off;off;2020;EUR_regi, NEU_regi;-1;off;testOneRegi;USA;debug;debt_limit;simple;edge_esm;ConvCase;1.05;1;none;2;on;2005;./config/21_regions_EU11/input_EU11.gdx;;
EU11_DEU;0;calibrate;off;1;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;none;0;0;none;none;off;off;off;off;off;off;off;off;2020;EUR_regi, NEU_regi;-1;off;testOneRegi;DEU;debug;debt_limit;simple;edge_esm;ConvCase;1.05;1;none;2;on;2005;./config/21_regions_EU11/input_EU11.gdx;;
EU11_ECE;0;calibrate;off;1;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;none;0;0;none;none;off;off;off;off;off;off;off;off;2020;EUR_regi, NEU_regi;-1;off;testOneRegi;ECE;debug;debt_limit;simple;edge_esm;ConvCase;1.05;1;none;2;on;2005;./config/21_regions_EU11/input_EU11.gdx;;
EU11_ECS;0;calibrate;off;1;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;none;0;0;none;none;off;off;off;off;off;off;off;off;2020;EUR_regi, NEU_regi;-1;off;testOneRegi;ECS;debug;debt_limit;simple;edge_esm;ConvCase;1.05;1;none;2;on;2005;./config/21_regions_EU11/input_EU11.gdx;;
EU11_ENC;0;calibrate;off;1;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;none;0;0;none;none;off;off;off;off;off;off;off;off;2020;EUR_regi, NEU_regi;-1;off;testOneRegi;ENC;debug;debt_limit;simple;edge_esm;ConvCase;1.05;1;none;2;on;2005;./config/21_regions_EU11/input_EU11.gdx;;
EU11_ESC;0;calibrate;off;1;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;none;0;0;none;none;off;off;off;off;off;off;off;off;2020;EUR_regi, NEU_regi;-1;off;testOneRegi;ESC;debug;debt_limit;simple;edge_esm;ConvCase;1.05;1;none;2;on;2005;./config/21_regions_EU11/input_EU11.gdx;;
EU11_ESW;0;calibrate;off;1;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;none;0;0;none;none;off;off;off;off;off;off;off;off;2020;EUR_regi, NEU_regi;-1;off;testOneRegi;ESW;debug;debt_limit;simple;edge_esm;ConvCase;1.05;1;none;2;on;2005;./config/21_regions_EU11/input_EU11.gdx;;
EU11_EWN;0;calibrate;off;1;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;none;0;0;none;none;off;off;off;off;off;off;off;off;2020;EUR_regi, NEU_regi;-1;off;testOneRegi;EWN;debug;debt_limit;simple;edge_esm;ConvCase;1.05;1;none;2;on;2005;./config/21_regions_EU11/input_EU11.gdx;;
EU11_FRA;0;calibrate;off;1;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;none;0;0;none;none;off;off;off;off;off;off;off;off;2020;EUR_regi, NEU_regi;-1;off;testOneRegi;FRA;debug;debt_limit;simple;edge_esm;ConvCase;1.05;1;none;2;on;2005;./config/21_regions_EU11/input_EU11.gdx;;
EU11_UKI;0;calibrate;off;1;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;none;0;0;none;none;off;off;off;off;off;off;off;off;2020;EUR_regi, NEU_regi;-1;off;testOneRegi;UKI;debug;debt_limit;simple;edge_esm;ConvCase;1.05;1;none;2;on;2005;./config/21_regions_EU11/input_EU11.gdx;;
EU11_NEN;0;calibrate;off;1;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;none;0;0;none;none;off;off;off;off;off;off;off;off;2020;EUR_regi, NEU_regi;-1;off;testOneRegi;NEN;debug;debt_limit;simple;edge_esm;ConvCase;1.05;1;none;2;on;2005;./config/21_regions_EU11/input_EU11.gdx;;
EU11_NES;0;calibrate;off;1;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;none;0;0;none;none;off;off;off;off;off;off;off;off;2020;EUR_regi, NEU_regi;-1;off;testOneRegi;NES;debug;debt_limit;simple;edge_esm;ConvCase;1.05;1;none;2;on;2005;./config/21_regions_EU11/input_EU11.gdx;;
