title;start;regionmapping;CES_parameters;cm_bioenergy_tax;cm_rcp_scen;cm_iterative_target_adj;c_budgetCO2;carbonprice;cm_co2_tax_2020;cm_emiscen;cm_earlyreti_rate;cm_fetaxscen;cm_co2_tax_growth;cm_bioenergymaxscen;c_ccsinjecratescen;techpol;cm_POPscen;cm_GDPscen;cm_oil_scen;cm_gas_scen;cm_coal_scen;c_techAssumptScen;cm_nucscen;cm_multigasscen;cm_OILRETIRE;cm_LU_emi_scen;cm_tradecost_bio;c_SSP_forcing_adjust;cm_APscen;cm_startyear;path_gdx;path_gdx_ref;path_gdx_bau
SSP1-Base;1;./config/regionmappingH12.csv;load;1.75;none;0;0;none;-1;1;0.09;3;1.05;0;1;none;pop_SSP1;gdp_SSP1;lowOil;lowGas;lowCoal;2;2;2;off;SSP1;1;forcing_SSP1;SSP2;2005;./config/input.gdx;;
SSP1-NDC;1;./config/regionmappingH12.csv;load;1.75;rcp45;3;0;NDC2018;1;9;0.09;3;1.05;0;1;NDC2018;pop_SSP1;gdp_SSP1;lowOil;lowGas;lowCoal;2;2;3;off;SSP1;1;forcing_SSP1;SSP2;2015;./config/input.gdx;SSP1-Base;SSP1-Base
SSP1-NPi;0;./config/regionmappingH12.csv;load;1.75;rcp45;3;0;NPi2018;1;9;0.09;3;1.05;0;1;NPi2018;pop_SSP1;gdp_SSP1;lowOil;lowGas;lowCoal;2;2;3;off;SSP1;1;forcing_SSP1;SSP2;2025;./config/input.gdx;SSP1-NDC;SSP1-Base
SSP1-Budg600;0;./config/regionmappingH12.csv;load;1.75;rcp20;5;600;expoLinear;30;9;0.09;3;1.05;0;1;NDC2018;pop_SSP1;gdp_SSP1;lowOil;lowGas;lowCoal;2;2;2;on;SSP1;1;forcing_SSP1;SSP2;2025;/p/projects/remind/users/soergel/REMIND/trunk/output/trunk_SSP1-Budg600-rem-5/fulldata.gdx;SSP1-NDC;SSP1-Base
SSP1-Budg600_plus;0;./config/regionmappingH12.csv;load;1.75;rcp20;5;600;expoLinear;30;9;0.12;4;1.03;4;5;NDC2018plus;pop_SSP1;gdp_SSP1;lowOil;lowGas;lowCoal;2;2;2;on;SSP1;1;forcing_SSP1;SSP2;2025;/p/projects/remind/users/soergel/REMIND/trunk/output/trunk_SSP1-Budg600-rem-5/fulldata.gdx;SSP1-NDC;SSP1-Base
SSP1-Budg950;1;./config/regionmappingH12.csv;load;1.75;rcp26;5;950;expoLinear;30;9;0.09;3;1.05;0;1;NDC2018;pop_SSP1;gdp_SSP1;lowOil;lowGas;lowCoal;2;2;2;on;SSP1;1;forcing_SSP1;SSP2;2025;./config/input.gdx;SSP1-NDC;SSP1-Base
SSP1-Budg1300;0;./config/regionmappingH12.csv;load;1.75;rcp26;5;1300;expoLinear;30;9;0.09;3;1.05;0;1;NDC2018;pop_SSP1;gdp_SSP1;lowOil;lowGas;lowCoal;2;2;2;on;SSP1;1;forcing_SSP1;SSP2;2025;./config/input.gdx;SSP1-NDC;SSP1-Base
SDP-Base;1;./config/regionmappingH12.csv;load;1.75;none;0;0;none;-1;1;0.09;3;1.05;0;1;none;pop_SDP;gdp_SDP;lowOil;lowGas;lowCoal;2;2;2;off;SSP1;1;forcing_SSP1;SSP2;2005;./config/input.gdx;;
SDP-NDC;1;./config/regionmappingH12.csv;load;1.75;rcp45;3;0;NDC2018;1;9;0.09;3;1.05;0;1;NDC2018;pop_SDP;gdp_SDP;lowOil;lowGas;lowCoal;2;2;3;off;SSP1;1;forcing_SSP1;SSP2;2015;./config/input.gdx;SDP-Base;SDP-Base
SDP-NPi;0;./config/regionmappingH12.csv;load;1.75;rcp45;3;0;NPi2018;1;9;0.09;3;1.05;0;1;NPi2018;pop_SDP;gdp_SDP;lowOil;lowGas;lowCoal;2;2;3;off;SSP1;1;forcing_SSP1;SSP2;2025;./config/input.gdx;SDP-NDC;SDP-Base
SDP-Budg600;0;./config/regionmappingH12.csv;load;1.75;rcp20;5;600;expoLinear;30;9;0.09;3;1.05;0;1;NDC2018;pop_SDP;gdp_SDP;lowOil;lowGas;lowCoal;2;2;2;on;SSP1;1;forcing_SSP1;SSP2;2025;./config/input.gdx;SDP-NDC;SDP-Base
SDP-Budg600_plus;0;./config/regionmappingH12.csv;load;1.75;rcp20;5;600;expoLinear;30;9;0.12;4;1.03;4;5;NDC2018plus;pop_SDP;gdp_SDP;lowOil;lowGas;lowCoal;2;2;2;on;SSP1;1;forcing_SSP1;SSP2;2025;./config/input.gdx;SDP-NDC;SDP-Base
SDP-Budg950;1;./config/regionmappingH12.csv;load;1.75;rcp26;5;950;expoLinear;30;9;0.09;3;1.05;0;1;NDC2018;pop_SDP;gdp_SDP;lowOil;lowGas;lowCoal;2;2;2;on;SSP1;1;forcing_SSP1;SSP2;2025;./config/input.gdx;SDP-NDC;SDP-Base
SDP-Budg1300;0;./config/regionmappingH12.csv;load;1.75;rcp26;5;1300;expoLinear;30;9;0.09;3;1.05;0;1;NDC2018;pop_SDP;gdp_SDP;lowOil;lowGas;lowCoal;2;2;2;on;SSP1;1;forcing_SSP1;SSP2;2025;./config/input.gdx;SDP-NDC;SDP-Base
SSP2-Base;1;./config/regionmappingH12.csv;load;1.5;none;0;0;none;-1;1;0.09;3;1.05;0;1;none;pop_SSP2;gdp_SSP2;medOil;medGas;medCoal;1;2;2;off;SSP2;2;forcing_SSP2;SSP2;2005;./config/input.gdx;;
SSP2-NDC;1;./config/regionmappingH12.csv;load;1.5;rcp45;3;0;NDC2018;1;9;0.09;3;1.05;0;1;NDC2018;pop_SSP2;gdp_SSP2;medOil;medGas;medCoal;1;2;3;off;SSP2;2;forcing_SSP2;SSP2;2015;./config/input.gdx;SSP2-Base;SSP2-Base
SSP2-NPi;1;./config/regionmappingH12.csv;load;1.5;rcp45;3;0;NPi2018;1;9;0.09;3;1.05;0;1;NPi2018;pop_SSP2;gdp_SSP2;medOil;medGas;medCoal;1;2;3;off;SSP2;2;forcing_SSP2;SSP2;2025;./config/input.gdx;SSP2-NDC;SSP2-Base
SSP2-Budg600;1;./config/regionmappingH12.csv;load;1.5;rcp20;5;600;expoLinear;30;9;0.09;3;1.05;0;1;NDC2018;pop_SSP2;gdp_SSP2;medOil;medGas;medCoal;1;2;2;on;SSP2;2;forcing_SSP2;SSP2;2025;./config/input.gdx;SSP2-NDC;SSP2-Base
SSP2-Budg950;1;./config/regionmappingH12.csv;load;1.5;rcp26;5;950;expoLinear;30;9;0.09;3;1.05;0;1;NDC2018;pop_SSP2;gdp_SSP2;medOil;medGas;medCoal;1;2;2;on;SSP2;2;forcing_SSP2;SSP2;2025;./config/input.gdx;SSP2-NDC;SSP2-Base
SSP2-Budg1300;1;./config/regionmappingH12.csv;load;1.5;rcp26;5;1300;expoLinear;30;9;0.09;3;1.05;0;1;NDC2018;pop_SSP2;gdp_SSP2;medOil;medGas;medCoal;1;2;2;on;SSP2;2;forcing_SSP2;SSP2;2025;./config/input.gdx;SSP2-NDC;SSP2-Base
SSP1-Base_fix;0;./config/regionmappingH12.csv;load;1.75;none;0;0;none;-1;1;0.09;3;1.05;0;1;none;pop_SSP1;gdp_SSP1;lowOil;lowGas;lowCoal;2;2;2;off;SSP1;1;forcing_SSP1;SSP2;2020;./config/input.gdx;SSP2-Base;SSP2-Base
SSP5-Base;0;./config/regionmappingH12.csv;load;1.75;none;0;0;none;-1;1;0.09;3;1.05;0;3;none;pop_SSP5;gdp_SSP5;highOil;highGas;highCoal;3;6;2;off;SSP5;1;forcing_SSP5;SSP5;2005;./config/input.gdx;;
SSP5-NDC;0;./config/regionmappingH12.csv;load;1.75;rcp45;3;0;NDC2018;1;9;0.09;3;1.05;0;3;NDC2018;pop_SSP5;gdp_SSP5;highOil;highGas;highCoal;3;6;3;off;SSP5;1;forcing_SSP5;SSP5;2015;./config/input.gdx;SSP5-Base;SSP5-Base
SSP5-NPi;0;./config/regionmappingH12.csv;load;1.75;rcp45;3;0;NPi2018;1;9;0.09;3;1.05;0;3;NPi2018;pop_SSP5;gdp_SSP5;highOil;highGas;highCoal;3;6;3;off;SSP5;1;forcing_SSP5;SSP5;2025;./config/input.gdx;SSP5-NDC;SSP5-Base
SSP5-Budg600;0;./config/regionmappingH12.csv;load;1.75;rcp20;5;600;expoLinear;30;9;0.09;3;1.05;0;3;NDC2018;pop_SSP5;gdp_SSP5;highOil;highGas;highCoal;3;6;2;on;SSP5;1;forcing_SSP5;SSP5;2025;./config/input.gdx;SSP5-NDC;SSP5-Base
SSP5-Budg950;0;./config/regionmappingH12.csv;load;1.75;rcp26;5;950;expoLinear;30;9;0.09;3;1.05;0;3;NDC2018;pop_SSP5;gdp_SSP5;highOil;highGas;highCoal;3;6;2;on;SSP5;1;forcing_SSP5;SSP5;2025;./config/input.gdx;SSP5-NDC;SSP5-Base
SSP5-Budg1300;0;./config/regionmappingH12.csv;load;1.75;rcp26;5;1300;expoLinear;30;9;0.09;3;1.05;0;3;NDC2018;pop_SSP5;gdp_SSP5;highOil;highGas;highCoal;3;6;2;on;SSP5;1;forcing_SSP5;SSP5;2025;./config/input.gdx;SSP5-NDC;SSP5-Base
